stockCode,tickerSymbol,companyName,companyNameEng,market,sector
KR7002030005,002030,아세아보통주,ASIA HOLDINGS,KOSPI,서비스업
KR7002070001,002070,비비안보통주,VIVIEN CORPORATION,KOSPI,섬유의복
KR7002100006,002100,경농보통주,Kyungnong,KOSPI,화학
KR7002140002,002140,고려산업보통주,KoreaIndustrial,KOSPI,음식료품
KR7002150001,002150,도화엔지니어링보통주,DOHWA ENGINEERING,KOSPI,서비스업
KR7002170009,002170,삼양통상보통주,SamyangTongsang,KOSPI,기타제조업
KR7002200004,002200,한국수출포장공업보통주,KoreaExportPackagingIndustrial,KOSPI,종이목재
KR7002210003,002210,동성제약보통주,DongsungPharmaceutical,KOSPI,의약품
KR7002220002,002220,한일철강보통주,HanilIron&Steel,KOSPI,철강금속
KR7002230001,002230,피에스텍,"PS Tec. Co., Ltd.",KOSDAQ,의료·정밀기기
KR7002240000,002240,고려제강보통주,KISWire,KOSPI,철강금속
KR7002290005,002290,삼일기업공사,"SAMIL ENTERPRISE CO., LTD.",KOSDAQ,건설
KR7002310001,002310,아세아제지보통주,AsiaPaperManufacturing,KOSPI,종이목재
KR7002320000,002320,한진보통주,HanjinTransportation,KOSPI,운수창고업
KR7002350007,002350,넥센타이어보통주,NEXENTIRE,KOSPI,화학
KR7002351005,002355,넥센타이어1우선주(신형),NEXENTIRE(1PB),KOSPI,화학
KR7002360006,002360,SH에너지화학보통주,SH ENERGY & CHEMICAL,KOSPI,화학
KR7002380004,002380,주식회사케이씨씨,KCC Corporation,KOSPI,화학
KR7002390003,002390,한독보통주,HANDOK Inc.,KOSPI,의약품
KR7002410009,002410,범양건영보통주,BUMYANG CONSTRUCTION,KOSPI,건설업
KR7002420008,002420,세기상사보통주,TheCentury,KOSPI,유통업
KR7002450005,002450,삼익악기보통주,SamickMusicalInstruments,KOSPI,기타제조업
KR7002460004,002460,화성산업보통주,HwasungIndustrial,KOSPI,건설업
KR7002600005,002600,조흥보통주,CHOHEUNG CORPORATION,KOSPI,음식료품
KR7002620003,002620,제일파마홀딩스보통주,JEIL PHARMA HOLDINGS INC.,KOSPI,서비스업
KR7002630002,002630,오리엔트바이오보통주,ORIENTBIO,KOSPI,의약품
KR7002680007,002680,한탑,Hantop Inc.,KOSDAQ,음식료·담배
KR7002690006,002690,동일제강보통주,"DONG IL STEEL MFG CO., LTD",KOSPI,철강금속
KR7002700003,002700,신일전자보통주,SHINIL ELECTRONICS,KOSPI,유통업
KR7002710002,002710,TCC스틸보통주,TCC STEEL,KOSPI,철강금속
KR7002720001,002720,국제약품보통주,Kukje Pharma,KOSPI,의약품
KR7002760007,002760,보락보통주,Bolak,KOSPI,화학
KR7002780005,002780,진흥기업보통주,ChinhungInternational,KOSPI,건설업
KR7002781003,002785,진흥기업1우선주(신형),CHINHUNG INT(1PB),KOSPI,건설업
KR7002782001,002787,진흥기업2우선주(신형),CHINHUNG INT (2PB),KOSPI,건설업
KR7002790004,002790,아모레G보통주,AmoreG,KOSPI,화학
KR7002791002,002795,아모레G1우선주,AmoreG(1P),KOSPI,화학
KR700279K010,00279K,아모레G3우선주(전환),AMOREG(3PC),KOSPI,화학
KR7002800001,002800,신신제약,"SINSIN PHARMACEUTICAL CO., LTD.",KOSDAQ,제약
KR7002810000,002810,삼영무역보통주,SamyungTrading,KOSPI,유통업
KR7002820009,002820,선앤엘보통주,SUN&L,KOSPI,종이목재
KR7002840007,002840,미원상사보통주,MiwonCommercial,KOSPI,화학
KR7002870004,002870,신풍보통주,SHINPOONG INC.,KOSPI,유통업
KR7002880003,002880,대유에이텍,"DAYOU AUTOMOTIVE SEAT TECHNOLOGY CO.,LTD",KOSPI,운수장비
KR7002900009,002900,티와이엠보통주,TYM CORPORATION,KOSPI,기계
KR7002920007,002920,유성기업보통주,YoosungEnterprise,KOSPI,운수장비
KR7002960003,002960,한국쉘석유보통주,HankookShellOil,KOSPI,화학
KR7002990000,002990,금호건설보통주,KUMHOE&C,KOSPI,건설업
KR7002991008,002995,금호건설1우선주,KUMHOE&C(1P),KOSPI,건설업
KR7003000007,003000,부광약품보통주,BukwangPharmaceutical,KOSPI,의약품
KR7003010006,003010,혜인보통주,HaeinCorporation,KOSPI,유통업
KR7003030004,003030,세아제강지주보통주,SeAH Steel Holdings Corporation,KOSPI,기타금융
KR7003060001,003060,에이프로젠바이오로직스보통주,Aprogen Biologics,KOSPI,의약품
KR7003070000,003070,코오롱글로벌보통주,KolonGlobalCorporation,KOSPI,건설업
KR7003071008,003075,코오롱글로벌1우선주,KolonGlobalCorporation(1P),KOSPI,건설업
KR7003080009,003080,성보화학보통주,SungboChemical,KOSPI,화학
KR7003090008,003090,대웅보통주,Daewoong,KOSPI,의약품
KR7003100005,003100,선광,"SUN KWANG Co., Ltd",KOSDAQ,운송
KR7003120003,003120,일성신약보통주,IlsungPharmaceutical,KOSPI,의약품
KR7003160009,003160,디아이보통주,DI,KOSPI,의료정밀
KR7003200003,003200,일신방직보통주,IlshinSpinning,KOSPI,섬유의복
KR7003220001,003220,대원제약보통주,DaewonPharmaceutical,KOSPI,의약품
KR7003230000,003230,삼양식품보통주,SamyangFoods,KOSPI,음식료품
KR7003240009,003240,태광산업보통주,TaekwangIndustrial,KOSPI,화학
KR7003280005,003280,흥아해운보통주,HeungaShipping,KOSPI,운수창고업
KR7003300001,003300,한일홀딩스보통주,HANILHOLDINGS,KOSPI,비금속광물
KR7003310000,003310,대주산업,Daejoo Inc.,KOSDAQ,음식료·담배
KR7003350006,003350,한국화장품제조보통주,HankookCosmeticsManufacturing,KOSPI,화학
KR7003380003,003380,하림지주,"Harim Holdings Co., Ltd.",KOSDAQ GLOBAL,금융
KR7003410008,003410,쌍용C&E보통주,SSANGYONGC&E,KOSPI,비금속광물
KR7003460003,003460,유화증권보통주,YuhwaSecurities,KOSPI,증권
KR7003461001,003465,유화증권1우선주,YuhwaSecurities(1P),KOSPI,증권
KR7003470002,003470,유안타증권보통주,Yuanta Securities Korea,KOSPI,증권
KR7003471000,003475,유안타증권1우선주,Yuanta Securities Korea(1P),KOSPI,증권
KR7003480001,003480,한진중공업홀딩스보통주,HanjinHeavyInd&ConstHoldings,KOSPI,전기가스업
KR7003490000,003490,대한항공보통주,KoreanAirLines,KOSPI,운수창고업
KR7003491008,003495,대한항공1우선주,KoreanAirLines(1P),KOSPI,운수창고업
KR7003520004,003520,영진약품보통주,YUNGJIN PHARM,KOSPI,의약품
KR7003530003,003530,한화투자증권보통주,HANWHA INVESTMENT & SECURITIES,KOSPI,증권
KR7003531001,003535,한화투자증권1우선주,HANWHA INVESTMENT & SECURITIES(1P),KOSPI,증권
KR7003540002,003540,대신증권보통주,DaishinSecurities,KOSPI,증권
KR7003541000,003545,대신증권1우선주,DaishinSecurities(1P),KOSPI,증권
